SId,CId,Marks
61203,46,57
39245,96,100
77803,22,94
60685,6,46
80395,73,100
33479,38,81
85556,8,70
3374,65,63
71894,12,53
15363,99,47
24562,11,49
80388,5,68
15829,82,40
31906,97,73
73259,7,39
11699,62,35
43938,60,64
26795,91,66
10391,56,84
61637,92,57
12689,52,50
12367,20,50
74891,41,87
56028,11,68
84704,18,93
59537,5,63
14498,80,66
828,73,90
72254,68,88
21110,92,57
24121,23,50
73728,8,94
29190,47,65
65259,89,88
81354,73,54
6633,21,85
69460,85,85
33521,39,95
30131,77,86
4903,95,53
11037,69,45
84995,65,78
64075,82,35
21942,18,67
28025,96,61
78172,65,80
75769,44,86
13961,65,54
70515,64,82
65892,97,91
65377,29,74
7973,70,65
28806,5,41
44430,98,98
38628,56,63
34807,3,58
6451,62,45
35488,100,90
7564,70,96
62675,61,47
74046,85,40
62964,51,40
4888,11,72
37274,76,100
30818,43,76
53476,67,86
41311,83,86
4657,16,90
32673,68,80
30879,85,97
41611,96,36
71903,2,41
23077,93,46
27968,61,87
77476,45,50
24792,5,59
45627,5,37
12266,93,68
25885,96,67
23631,75,98
44216,81,77
79220,42,46
13931,38,75
59549,9,54
83707,1,99
86104,86,90
74467,43,58
29106,87,35
66011,58,38
85625,75,85
8432,81,42
18694,71,75
82300,61,86
68079,13,50
19490,33,40
14694,67,54
5339,73,74
43301,45,56
72284,22,70
59379,69,93
16391,93,70
67643,99,51
26112,22,74
76082,93,75
59148,7,62
31614,18,37
76216,51,58
86159,69,83
10865,31,61
8729,2,65
62605,62,95
43329,39,99
17443,4,60
72445,23,57
50765,80,45
43346,34,60
25888,29,86
34344,96,71
899,57,84
40797,42,48
87937,95,88
5843,98,54
1240,99,38
42375,73,72
35114,2,77
36344,23,82
37104,68,64
35057,33,54
7709,16,70
68648,55,56
30451,23,83
52303,33,86
61087,23,68
40314,89,82
39272,55,79
20459,43,43
55159,17,68
18576,52,45
4684,77,70
7746,97,97
29828,93,96
24291,36,51
44678,47,57
21391,92,42
12198,53,76
37190,26,81
78170,61,39
19895,86,46
42098,28,71
81586,3,80
63873,41,37
2162,60,45
37689,12,41
50716,35,87
73768,93,83
63503,30,80
35938,47,82
25605,88,40
59941,70,82
22962,42,95
29720,25,35
37640,20,91
85243,28,95
77083,47,65
10781,8,58
42827,8,62
87485,94,61
89226,38,97
23214,36,82
68544,77,45
59276,59,74
74246,74,66
42792,42,52
37865,97,64
32770,39,39
41546,4,55
66874,55,58
61253,75,51
4004,22,89
42011,5,72
8084,32,52
69318,35,84
57293,95,45
46823,33,99
49580,43,81
7039,21,81
84090,81,94
61378,30,48
22794,42,44
63830,89,50
69828,92,77
77478,20,62
7736,51,76
38661,14,52
68306,81,93
78979,48,95
39592,53,89
10270,47,66
60330,81,89
4465,55,44
64712,78,44
44902,44,42
12020,75,37
7919,70,99
60394,16,62
82899,25,43
38174,45,58
2793,25,90
60729,99,100
58286,8,51
74663,50,67
36207,7,67
59862,59,90
32242,4,39
35350,89,86
56581,7,45
29795,61,85
76189,95,67
56787,5,98
84952,51,39
1101,9,98
87131,91,82
73955,80,69
9541,14,45
412,13,58
55371,7,88
32864,56,70
83334,76,71
49170,93,59
24947,23,42
80321,41,85
23328,87,78
38713,13,85
82441,92,81
70971,84,55
67851,86,50
4157,74,45
71607,58,76
34857,67,84
47067,28,77
40637,67,75
36718,52,67
55096,96,78
77286,93,87
52612,100,61
64947,49,71
71368,36,70
84769,2,46
77195,26,51
89704,73,38
2452,82,86
45734,99,98
52871,40,76
65544,68,67
61075,3,83
63784,93,79
69196,53,91
86692,44,86
21082,79,55
55584,95,48
72859,26,76
20399,61,60
8971,20,73
56520,95,53
33297,22,79
17416,13,72
15624,33,62
20930,26,83
75085,33,65
65381,83,50
24725,100,85
52572,53,53
8254,29,64
73006,64,73
38598,76,43
38761,2,51
84643,56,37
54858,96,47
31034,25,66
67533,85,46
48873,22,47
53287,91,55
70770,88,98
38638,12,38
24513,91,68
79568,42,92
53958,55,85
14164,42,98
32714,5,64
45772,93,63
179,25,87
79352,26,61
57387,10,73
2111,52,36
51675,83,98
7335,91,100
63513,72,76
12353,49,99
46587,34,39
14922,27,72
56279,34,84
19405,93,52
32506,23,39
6719,32,91
38799,29,37
35874,95,99
78634,100,55
42078,65,90
25473,5,77
76242,98,82
19239,43,38
21178,39,41
80417,71,48
61034,32,81
62459,39,91
70328,90,69
4898,75,54
5719,22,42
73087,54,40
77268,9,69
11333,70,96
64957,4,45
56409,1,93
33952,52,42
3439,53,81
85921,6,94
74669,39,54
69914,92,64
78998,56,62
29020,82,77
48488,82,72
87365,37,37
86110,55,36
24486,69,37
17433,56,69
57588,82,89
51844,51,44
36835,38,77
60127,3,93
17437,29,87
1684,18,99
4180,15,96
16835,99,71
8309,94,58
64924,85,93
83150,62,88
47729,31,83
60592,96,35
82559,26,64
51149,29,72
11845,74,94
20635,2,50
31930,11,52
47640,62,95
59370,52,74
79155,83,61
21663,43,92
89914,17,79
26581,9,75
81698,80,99
87756,94,92
54129,69,90
64383,10,80
41426,69,81
12972,13,48
61406,85,39
17082,7,99
29206,60,44
57452,59,62
67609,48,63
29725,94,38
71709,39,90
72897,2,77
4494,65,99
56039,8,52
25502,32,58
88047,55,94
32833,19,62
28752,77,94
68420,9,75
47883,86,49
49199,86,98
52482,95,45
53914,73,72
20159,36,76
82501,21,56
87335,1,97
53956,69,55
67000,6,90
11115,11,70
35592,24,80
15649,91,78
26464,40,90
47486,13,68
72168,68,86
4429,59,58
57646,44,99
14650,64,46
39652,57,57
63733,59,96
19985,66,49
22899,40,94
58141,37,74
24648,96,100
85068,9,73
7751,91,86
9479,12,56
72087,93,39
37648,46,39
85349,37,73
21341,19,70
4130,71,99
59794,39,87
68857,9,75
306,56,80
82922,81,61
48873,60,95
67795,94,39
29547,85,52
70496,90,49
83996,35,59
10308,23,46
59706,95,66
1529,71,68
49726,52,79
28813,100,36
82575,44,77
83877,70,96
6693,40,79
22596,65,62
58513,4,63
21414,39,96
58680,28,77
76264,55,45
48409,32,77
72102,85,74
50447,8,86
38903,21,87
83022,39,87
49447,2,96
11249,57,39
71735,73,68
41990,30,46
74989,36,70
7589,87,56
17083,39,52
84136,28,44
2512,30,64
3646,50,49
86265,78,48
36232,80,44
49558,61,76
85332,20,37
35910,2,76
86124,88,52
58004,14,92
57616,54,67
82293,49,57
19754,42,50
10093,4,59
34979,21,37
13936,96,40
56053,57,75
43520,61,76
161,75,83
4375,46,55
77316,50,80
45369,26,76
53089,24,66
41610,81,55
68911,38,65
77954,20,82
24833,50,57
55686,77,40
64748,83,45
11030,82,54
7545,71,67
54522,73,68
67671,64,72
58153,23,86
69245,5,78
60487,34,95
60509,26,55
35892,52,98
25113,11,46
17203,71,90
22370,60,91
48644,92,100
2205,48,79
3240,6,75
39687,15,88
75783,59,69
8380,35,57
83905,90,64
39054,30,74
42233,76,60
81445,70,37
14346,34,51
76141,66,38
62729,1,94
72770,39,43
83325,80,46
59369,44,61
78144,30,49
60457,89,79
7284,96,98
87988,96,41
66782,15,68
8943,2,86
83115,74,58
69782,83,64
21951,26,81
11535,90,85
54160,14,42
61606,85,100
61335,3,100
17713,2,97
5612,37,99
53185,50,54
53914,68,87
70427,67,77
10547,30,37
21258,74,55
14053,99,43
47309,72,58
37604,65,96
21253,100,65
85431,49,71
13601,91,43
13430,96,42
80438,57,72
16230,13,66
75104,78,60
38436,64,45
71329,89,77
34015,16,89
85631,92,48
4150,30,35
75355,87,99
82161,88,70
65944,58,57
20073,75,49
25363,66,57
71699,73,93
24792,9,36
14352,26,94
65943,3,44
50087,58,40
78407,33,36
27444,72,43
55867,99,72
83179,73,91
22128,15,49
52289,28,75
32957,33,44
76595,35,80
70174,93,53
4253,27,47
49728,1,98
22202,17,93
16310,13,87
61045,53,70
88728,85,75
306,44,70
971,46,94
25092,85,59
19400,58,69
35758,91,76
22784,98,57
13094,72,63
19126,9,83
76723,6,36
73612,24,55
30332,25,54
65594,2,75
62504,11,95
14303,37,73
10725,18,92
84482,34,71
22664,72,90
59720,9,83
82374,59,63
89181,37,62
9929,39,63
82224,73,79
36452,15,66
89377,71,90
14857,27,58
18395,8,84
18347,27,80
7312,92,90
88186,52,41
46200,16,46
73275,62,43
54262,59,45
71664,39,96
53653,83,91
52120,19,99
67146,6,88
65,6,61
68799,35,88
44241,53,98
10753,93,78
86351,15,91
39430,26,37
70254,22,64
7266,40,66
14021,80,94
49278,23,68
70803,47,53
57411,52,41
38025,84,43
31384,96,39
43135,57,83
58911,48,61
68768,94,81
84029,23,87
29738,11,72
86309,69,80
35296,10,87
13012,33,67
20750,29,45
8768,42,92
25080,47,61
14480,3,68
64728,37,53
62807,73,72
47762,51,73
83562,79,99
67572,52,60
75031,43,71
49920,23,83
76168,90,89
71837,1,94
66485,31,65
15943,39,54
28393,84,36
8536,24,61
87995,55,53
27030,99,53
30227,20,56
59027,20,49
62826,94,36
89030,55,85
84367,29,48
38388,41,81
51007,35,44
37196,27,54
68930,69,55
3105,40,98
32811,10,86
53210,77,39
40030,30,54
86309,20,37
52220,83,81
11151,55,99
86759,7,77
42762,87,66
4596,68,87
33204,2,51
23027,98,37
21585,28,91
69396,81,36
79366,48,81
45410,74,72
66882,53,64
45890,56,65
72656,29,91
20663,50,77
2677,21,53
57247,43,56
54058,95,83
31872,47,68
63149,99,57
76422,50,45
26714,50,46
3567,36,97
1265,91,48
55516,63,79
65334,37,82
15015,29,81
19,10,79
38194,16,95
19619,21,58
70113,73,92
39236,40,93
76182,32,84
89680,60,90
70348,39,61
86549,59,52
66789,57,48
24523,98,87
69321,58,98
46708,75,37
88092,38,85
36973,23,48
27308,52,45
52082,38,49
8006,23,58
38898,96,79
43198,90,47
37111,66,53
17387,100,37
34242,20,87
89502,38,35
48679,66,90
87468,38,74
67035,48,76
88368,5,40
37329,87,49
4238,5,95
49903,64,57
24939,76,45
87369,23,92
17497,31,88
50623,57,51
28883,14,75
10598,46,53
9799,93,55
84255,96,59
47339,64,41
54489,82,90
3359,73,48
7841,75,92
61026,42,46
54598,77,60
91,92,80
52060,3,59
71975,82,68
51660,59,40
60977,70,84
78061,67,36
42963,97,53
75080,90,89
86208,64,67
62338,74,69
8855,73,42
7771,70,48
68531,20,44
28185,48,39
31449,49,99
20767,56,38
55935,56,63
10645,44,40
74005,59,91
55376,5,36
85361,36,44
20107,95,96
66082,93,48
28855,33,76
19738,84,89
23130,61,52
35850,60,96
32039,53,48
44562,51,73
20273,68,70
22556,9,87
331,40,37
53155,44,40
26441,35,39
4732,73,78
14167,17,88
69796,7,41
3893,80,100
38055,45,48
28694,75,35
1268,15,58
27257,77,82
66942,33,92
26964,2,43
65436,2,47
38315,7,69
81480,54,75
73073,97,79
58054,16,94
8443,74,64
16784,97,48
25817,26,68
7388,56,100
76030,15,86
4055,100,54
54674,26,79
32223,75,47
11252,66,82
9150,77,82
19792,11,43
38964,16,48
58139,57,84
60686,18,80
16260,56,96
2865,3,36
5405,4,73
57206,46,62
21075,66,77
10572,82,49
65788,19,72
88399,47,44
55953,67,71
44454,66,47
52608,86,40
88609,68,89
78736,46,44
43555,9,94
45510,3,58
25021,14,83
10031,37,96
16183,63,67
4780,8,43
46088,79,47
14625,29,86
23897,88,49
82027,47,51
9090,96,94
84795,87,92
62082,24,43
7680,64,100
75961,76,81
9663,70,50
36569,1,75
70407,42,57
29712,32,98
28165,68,45
43456,97,52
5093,80,51
16660,50,39
51488,69,72
11816,93,58
34142,72,77
18663,58,86
33386,65,55
53712,49,62
32775,83,96
51534,44,43
70950,29,49
27493,41,70
65527,69,42
62134,23,70
57665,87,85
83731,15,86
79962,53,50
65628,83,72
51465,53,83
44930,5,48
36564,21,79
910,3,40
88721,30,36
15894,72,96
57139,16,45
9907,52,67
60959,7,65
18457,91,72
66617,90,40
87060,32,69
33114,43,88
85776,26,55
64976,48,76
68657,67,72
12228,13,78
24220,75,97
41646,62,99
41570,70,84
26026,70,87
7123,29,86
15700,71,66
23497,80,63
74794,7,46
32796,71,61
65100,94,88
26453,25,84
61498,37,45
79379,96,93
87229,31,52
58820,13,91
70296,93,78
34617,59,60
80880,5,76
29042,21,45
86075,97,52
53750,69,56
38077,89,90
61261,32,88
1554,52,71
19967,71,75
72819,88,95
51516,61,63
56866,23,55
19683,72,50
10406,98,81
27458,95,41
4702,81,84
44945,6,53
43495,73,91
72728,54,36
77554,40,55
60906,48,37
70842,30,47
55053,14,64
16288,82,78
80522,52,91
19202,13,71
12701,76,99
70912,89,81
88634,28,82
39034,21,48
63813,79,70
78708,22,97
48450,5,39
88606,96,57
72619,50,67
47219,70,44
76408,26,69
78020,57,71
73229,52,75
80606,60,93
46811,65,100
27036,13,87
30497,77,71
71743,25,80
41459,85,65
33264,54,85
23342,4,50
67602,31,67
54675,15,89
65038,47,99
39770,29,74
32681,38,75
53834,62,73
89041,70,74
48647,71,47
19674,39,66
41663,63,100
65280,75,60
1539,98,55
43348,86,52
85135,25,73
68889,54,69
57587,32,47
24097,60,85
67931,16,57
36583,34,80
55219,73,41
20532,9,69
45005,19,98
75367,63,97
75434,39,96
41823,90,90
78214,38,63
74977,5,91
32135,39,57
25219,91,65
64672,81,96
72001,8,84
82862,28,63
29417,68,79
59101,12,72
30825,99,41
5832,7,68
9885,30,35
37396,30,92
68789,53,98
20323,29,40
16187,36,56
59848,31,54
12598,96,88
69920,87,50
58485,80,81
56220,23,84
44479,29,69
16063,23,90
19492,97,88
89158,92,69
37939,43,49
35617,76,58
61593,49,60
56971,38,50
12394,66,97
29586,39,89
81802,7,76
8370,62,91
18771,38,38
75919,6,65
66983,34,59
66310,13,48
25269,80,98
5735,67,90
6427,53,94
68529,23,51
24364,28,58
20234,16,89
29570,94,52
82006,57,93
8509,99,47
33212,41,55
4937,32,98
66758,89,45
69988,34,82
63619,32,58
47445,72,88
20301,44,66
38055,30,86
33013,51,92
47558,58,80
69050,83,84
52121,1,57
86860,22,85
67469,32,92
67923,100,38
60807,90,60
627,79,56
37643,47,56
66641,49,88
24259,53,52
75895,65,58
29424,34,65
75303,36,36
28131,61,72
69458,51,91
28354,97,97
17017,98,48
31354,72,70
82718,56,73
56529,58,97
84767,27,47
81982,87,99
2220,50,84
48896,11,57
32291,46,81
20012,15,67
6744,51,93
44462,65,80
72994,10,36
58284,56,71
87681,57,100
68150,32,93
1924,18,78
82564,18,56
69612,100,94
65907,16,78
17065,50,72
74399,37,77
45915,93,44
21004,52,52
51584,92,66
5975,74,83
436,100,77
14081,25,82
28883,73,62
44435,71,56
62743,40,100
23653,94,64
2658,10,79
34898,57,75
33989,67,37
57555,70,87
19171,59,77
2012,90,43
7303,72,49
56907,14,40
2158,79,92
58430,32,91
36748,22,77
19418,3,94
40568,75,64
31054,74,83
4384,50,70
5766,49,83
48267,65,100
88260,8,86
18957,56,66
70464,68,47
13166,48,95
31652,10,91
75693,53,41
64326,83,79
79744,89,95
86569,78,57
64106,39,54
60333,54,88
81346,15,38
84594,47,88
4250,44,95
10029,25,41
14734,42,57
36008,4,91
14371,53,77
22444,16,78
24427,42,82
88594,40,99
72791,65,73
44197,14,99
13600,61,91
22097,94,71
85121,15,95
45439,41,58
55726,42,37
43363,11,39
65194,69,61
58330,4,46
41188,26,62
43664,44,45
88467,46,52
33308,32,48
56127,42,52
58916,23,59
65455,34,49
88265,53,43
73736,95,37
31394,48,98
43867,44,52
60652,11,43
40271,64,100
2928,15,85
89655,41,70
13550,18,96
18057,63,72
64348,62,85
79955,96,55
43386,70,54
8490,37,92
13421,74,74
67687,77,65
67650,6,36
15676,60,71
12983,37,48
45321,5,37
56147,80,88
3988,85,83
10051,89,46
60734,28,42
49783,7,83
14104,46,86
66993,93,80
12401,52,56
36081,76,87
62241,66,91
46593,42,65
25081,98,79
11130,39,90
87877,53,46
7792,13,36
50301,18,83
84279,34,41
8516,76,78
83712,41,72
8825,27,40
18726,72,91
30635,31,62
68310,28,73
3784,18,97
13809,46,54
86626,28,99
9874,51,66
39569,28,68
68866,67,49
29070,12,64
55057,10,86
46648,87,94
487,56,70
51873,64,55
81339,43,46
43651,41,90
31479,71,44
53554,28,96
22523,84,64
66167,5,89
40345,80,44
37515,89,95
20244,83,82
62833,83,40
82806,55,38
48102,94,90
15004,21,77
63730,22,57
39638,54,48
4474,78,39
68717,25,94
57266,62,72
37317,33,63
81180,79,66
7641,75,85
79397,9,75
54257,30,42
79441,10,55
14918,69,69
80592,48,60
13326,60,80
58397,88,57
84409,95,89
72583,73,39
16589,57,43
37220,46,86
57297,12,56
56447,65,39
88612,29,87
6422,83,89
25330,13,38
86783,79,83
39187,33,50
88492,33,74
75141,51,80
51072,3,96
69213,100,36
88990,8,81
30197,65,84
86599,62,68
73306,99,39
59865,73,44
68811,67,57
5210,49,86
31711,100,93
72885,79,82
40174,14,94
78523,66,70
79697,39,52
39038,29,80
12648,91,93
86949,85,85
25420,90,84
41874,35,75
64617,53,59
51155,25,56
45508,2,36
31835,14,45
87513,3,69
68197,52,54
73265,36,75
16782,48,75
17515,37,100
49740,88,100
25201,21,82
89032,58,61
4533,80,62
19823,5,85
46362,10,73
10409,91,95
64009,80,69
1716,2,74
87468,27,73
31746,79,97
2334,26,42
57293,19,44
56170,28,74
30201,24,36
71140,86,54
40495,58,79
62157,8,87
32157,46,69
26817,89,64
67948,60,44
59508,19,66
84387,3,37
67272,2,66
3277,30,54
6219,95,78
45885,16,72
53654,23,42
59725,47,92
26047,12,37
17450,84,91
7264,66,52
59159,45,70
65865,58,96
48709,64,84
85498,54,74
18016,75,86
21673,22,86
11864,96,45
65348,17,99
56781,57,90
57785,27,62
3029,75,81
34390,79,99
50820,15,87
59082,40,87
70067,69,89
84084,54,49
20980,84,62
71672,15,72
86054,88,46
77229,7,65
17585,83,52
52429,59,51
88547,78,96
59914,76,43
9335,84,79
73529,31,79
78450,4,93
32267,69,77
63358,9,40
17901,63,53
28536,94,35
83739,80,77
13180,92,51
45900,42,35
59763,53,76
57785,91,87
38648,93,53
87852,99,36
25409,99,93
80209,72,84
5278,90,63
52647,47,45
66878,95,50
53792,11,85
8133,98,75
39431,8,64
22313,41,86
60701,44,78
82305,39,80
58239,24,72
61630,30,70
73916,91,50
8541,4,43
13380,49,62
5237,7,90
17566,59,88
17688,12,99
85042,35,38
43268,30,88
55109,15,36
53943,87,36
20163,57,39
68833,21,77
77580,18,93
52820,73,89
62874,46,61
84987,89,74
56800,61,70
88197,56,41
24114,36,50
63783,39,91
607,29,38
58985,86,49
64963,76,77
87871,14,43
58212,70,100
41289,43,72
55575,50,82
7279,54,95
87218,1,89
71007,100,87
49212,64,56
68435,8,80
5219,55,38
19987,59,56
24341,85,65
36945,28,38
81811,56,56
56867,27,78
35405,25,57
33478,41,43
65128,99,57
69073,52,53
57401,45,82
40166,91,71
79577,12,59
77091,31,83
64040,84,35
2536,95,81
11964,42,90
55948,88,80
47685,13,77
12318,94,42
36832,28,60
81645,49,46
36594,1,81
21695,26,84
44118,48,39
80829,87,76
86619,85,84
52154,65,97
21117,46,93
80698,73,37
38154,27,52
36504,88,81
39754,46,95
14685,75,65
59495,7,51
69336,10,65
38021,88,91
28094,57,46
62776,46,77
35590,33,41
44407,29,50
60035,99,97
77914,91,84
16619,91,69
5090,19,73
81942,96,42
88483,49,64
26292,30,67
44412,14,89
63185,77,37
72798,38,45
31915,78,48
41085,20,86
11186,51,85
39091,3,100
32896,3,72
11468,81,77
36515,73,60
33712,51,97
30211,63,42
76228,23,86
16200,39,100
36789,56,52
52483,58,96
39403,20,69
69153,3,64
32199,90,77
7742,21,73
35911,56,61
60590,25,60
66319,46,100
63349,70,54
68951,82,56
72955,81,53
81841,10,46
31725,57,54
53681,80,64
88039,64,62
85882,53,78
35709,55,67
64497,66,43
34544,3,89
18317,38,44
23014,43,72
7916,92,52
52298,60,82
23052,14,83
76877,7,98
42527,57,52
68568,90,94
49783,12,87
7372,10,76
11348,93,59
44713,50,44
56758,41,56
38887,48,73
63107,57,76
37766,37,100
58890,96,82
15332,66,41
13181,88,82
57992,52,74
86781,36,70
14232,12,77
70599,40,78
23016,35,51
41267,65,58
24035,62,70
72723,51,75
13750,47,70
45262,4,84
39802,93,81
67525,76,48
75244,25,81
84581,37,42
13005,31,66
65166,84,45
69451,44,80
67789,81,100
44722,64,40
11550,60,56
8981,43,82
80432,33,79
69581,73,57
51759,47,70
31590,7,59
11099,5,78
4882,19,42
64708,56,51
11527,75,71
83807,26,72
37155,56,74
80578,6,83
53368,15,43
5940,16,71
6877,64,85
5173,51,70
80925,59,35
84577,64,64
48162,64,66
58337,8,80
9929,38,99
69255,62,86
21303,80,57
45379,94,59
5787,7,51
11829,48,46
6745,86,85
59403,77,80
64278,28,88
86716,45,58
71512,76,36
6395,94,56
46822,59,70
5661,10,48
65423,64,76
80208,67,84
61094,27,76
72770,41,96
3155,26,97
52184,38,36
64557,43,83
39251,20,78
71595,22,89
58440,14,49
76914,27,87
87820,18,84
77195,43,50
53944,51,60
41387,61,79
29108,4,45
4824,84,86
9588,78,61
23709,23,92
55075,92,39
65164,29,51
43121,56,49
59970,62,88
41154,26,40
32191,30,85
10600,17,99
73501,92,100
22864,41,53
31695,86,69
51752,75,66
80351,89,82
87580,52,62
22313,88,61
4656,49,36
9787,76,80
33887,39,57
89328,85,98
16466,55,86
28174,44,88
20964,97,75
1312,6,84
25603,59,80
22844,60,67
27569,8,74
87402,70,64
18034,16,84
22878,64,43
68912,77,93
35341,45,89
80158,24,85
43349,63,60
50921,13,62
33657,7,69
27746,1,98
13220,83,81
78600,14,83
55422,52,47
57128,31,44
79067,38,82
6167,95,91
67698,46,78
44079,80,83
70127,64,91
5366,15,81
47026,24,70
64990,20,92
78072,81,76
70754,57,52
23170,90,47
17736,7,67
78554,59,75
51589,27,46
80039,52,37
956,11,89
89634,35,56
8267,11,76
19817,12,53
56789,87,49
35105,28,93
10885,98,63
62991,9,71
61226,8,51
57263,38,84
12887,2,59
75131,76,90
39618,92,55
80943,34,69
79031,91,65
87091,100,51
19510,24,98
64874,2,63
55877,56,77
84598,62,85
36673,52,87
100,77,89
82468,51,80
85455,10,73
16914,67,50
71059,19,96
187,8,61
47847,89,52
9895,32,56
24843,25,98
38170,86,88
32934,23,38
8620,42,89
25346,74,94
35379,58,51
34089,47,62
89828,59,81
75952,47,73
42330,3,69
72263,58,55
68124,12,81
37512,36,42
34066,16,42
42865,69,59
22342,33,85
61551,61,88
80439,31,72
11789,65,91
14909,37,90
58053,46,35
35074,88,74
36150,72,74
74949,78,45
37161,33,84
24517,63,64
83756,31,42
72848,96,87
9835,69,76
81464,34,66
19059,71,74
8685,53,38
2854,26,37
70906,74,51
27935,96,56
18616,47,56
21328,72,52
5001,41,90
72206,88,59
74951,4,38
4300,33,35
6151,80,40
89406,16,64
17599,39,99
73495,58,87
54190,80,73
58530,84,47
54096,100,94
44170,39,89
40444,98,90
55063,84,62
14136,54,78
59168,16,97
14208,90,65
29357,25,80
75529,52,50
20127,91,89
20938,60,79
60525,16,50
62749,91,63
63562,6,87
6074,10,94
5131,37,39
29904,43,54
81495,20,86
9627,52,96
50268,51,38
25508,49,94
57506,79,43
85140,60,92
24301,87,82
35656,87,73
65344,72,100
68870,49,97
15384,56,82
63595,95,99
63167,87,49
51044,97,64
45105,77,40
39591,6,87
29337,56,36
16926,93,64
8463,85,100
8883,64,35
20699,77,59
27822,77,64
16167,94,48
67524,16,74
3309,11,78
40766,68,62
42551,19,88
59568,28,93
32491,75,81
84050,37,46
15257,86,54
53484,67,68
75750,57,62
80580,87,53
46994,80,75
64614,70,75
19806,8,67
8275,31,44
68311,34,94
31933,75,53
23443,21,40
19003,96,58
53561,98,100
36084,54,58
8450,7,72
79736,11,42
89703,54,93
69417,58,57
60094,53,75
67843,73,73
22840,65,52
13630,18,40
23244,11,53
30607,66,97
10319,90,43
86962,72,57
74685,3,41
41286,8,56
9560,67,78
21353,53,54
37212,10,39
43385,70,95
88811,42,35
87744,71,92
8662,55,59
64367,95,67
32198,44,59
4244,18,65
28549,88,41
2447,33,48
48208,28,50
30486,11,74
4293,95,66
39617,54,35
46677,61,48
69744,19,49
195,2,47
37924,19,93
72696,75,85
49559,10,93
15349,65,90
66663,61,69
80359,78,82
24680,60,83
79426,87,49
80224,10,38
40569,2,69
70550,17,37
22177,13,39
48580,16,68
81295,84,94
29066,83,80
81088,26,91
78861,100,66
17681,37,98
3858,92,35
67603,26,79
86698,32,96
10612,65,57
35056,38,60
77365,94,99
5733,11,94
36828,21,45
47702,41,44
77179,83,35
29257,7,54
70253,59,73
55049,27,76
54845,61,99
34825,42,53
89940,53,50
21429,32,37
28906,44,88
65391,16,68
80562,33,90
74713,58,92
17937,64,62
3053,22,75
34467,66,66
53914,79,82
86139,30,46
41679,79,49
19550,63,97
79573,65,45
32944,46,93
5571,26,46
17419,48,45
54137,93,99
53260,70,64
19991,38,41
76903,29,92
84756,53,77
72196,48,50
13606,12,75
29286,31,58
30894,65,82
69214,52,40
74606,57,49
57071,65,45
77246,2,90
80792,41,38
72059,66,71
40544,65,66
48924,35,65
25720,8,58
26289,96,49
41929,41,51
33438,6,46
37257,29,76
54529,59,50
71733,35,43
85368,45,55
88611,29,76
38635,49,79
7742,49,84
41432,35,96
13573,54,63
86686,48,85
16652,15,56
37468,54,40
33023,19,80
69224,54,49
78756,57,100
47355,5,42
19687,37,41
62187,13,90
7953,10,62
19099,33,53
20489,84,59
29709,46,100
84669,43,42
83763,46,35
26076,95,41
47192,51,73
22966,1,95
57838,6,94
10578,82,42
8915,24,48
25924,45,57
39371,75,50
82487,71,60
21120,71,97
2516,27,81
87086,51,51
64047,17,49
55965,64,94
46971,21,44
26844,29,52
36961,99,38
44481,50,93
59417,76,96
1113,71,62
9122,41,46
86602,38,92
40820,90,49
73352,14,73
37378,69,47
64606,24,49
77892,77,71
6600,43,52
84556,72,35
51497,1,43
72316,69,36
82181,28,44
69264,22,60
59294,21,60
50006,33,82
79582,91,40
10195,67,92
43784,51,65
1613,11,98
39489,34,86
29403,19,74
19836,8,58
72182,10,98
20243,96,81
27230,62,51
23601,38,94
87474,26,40
88676,9,35
27811,26,78
19647,21,64
3554,41,61
58511,48,95
24234,95,100
46486,35,78
17544,62,99
21149,35,81
21393,56,91
29766,97,75
22363,96,73
38114,22,52
13994,22,39
19004,98,48
68474,82,43
38229,93,69
27168,84,82
42550,35,39
54534,92,93
62198,77,93
87449,86,66
74713,49,88
28686,30,66
86646,93,56
4286,40,88
71534,25,60
4713,1,69
18677,86,71
76445,55,64
48548,88,39
81471,98,90
29823,8,85
72584,39,96
42122,9,78
47890,36,36
36626,11,80
78911,67,40
72845,50,83
88151,89,65
44592,24,85
32108,24,87
70320,99,45
66328,75,46
34138,41,58
48728,65,87
80001,97,85
40454,31,57
64022,14,40
13131,57,83
42270,28,45
18713,87,86
34696,20,90
49602,52,92
9272,47,92
40583,29,96
52982,92,48
54803,99,43
53814,68,46
68188,26,68
22290,10,52
79762,61,98
71045,25,63
24720,57,89
27107,39,94
8812,67,84
17241,30,51
45280,83,55
32540,10,66
37604,58,97
74195,21,91
55176,13,63
71742,6,92
57218,19,94
23955,37,87
59731,37,52
77795,44,50
27295,12,35
62390,58,62
69340,12,39
61354,40,44
81438,92,85
70906,37,55
23746,43,63
67897,96,35
27809,65,69
80102,35,97
10664,18,77
16394,98,86
10501,31,56
77838,19,68
22388,11,37
74318,100,54
43318,33,82
77789,94,83
11406,43,97
63091,28,58
38397,65,78
58805,63,95
3640,12,71
22854,49,94
17509,1,99
30348,24,93
60846,87,58
32021,8,54
42110,10,95
3745,85,42
45894,12,88
66817,82,86
18543,75,66
59039,10,41
48121,4,87
86793,90,75
86852,73,95
59128,89,35
76462,5,83
8289,57,81
64441,65,42
